Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
377;0.015771;0.021759;0.020829;0.014488;0.0188;0.014294
378;0.009469;0.016158;0.019974;0.007623;0.018084;0.00772
379;0.001377;0.01016;0.019248;0.000583;0.017212;0.000272
380;-0.005737;0.002391;0.018412;-0.007974;0.015752;-0.007918
381;-0.014265;-0.00419;0.017521;-0.016283;0.014914;-0.016106
382;-0.021732;-0.012405;0.016402;-0.023285;0.01432;-0.023242
383;-0.027142;-0.019669;0.015331;-0.028345;0.013873;-0.028303
384;-0.031201;-0.025518;0.014406;-0.031967;0.012992;-0.031919
385;-0.033794;-0.03003;0.014208;-0.034305;0.012758;-0.034274
386;-0.035266;-0.033117;0.013221;-0.035579;0.011665;-0.035567
387;-0.036269;-0.034857;0.012961;-0.036519;0.011544;-0.036502
388;-0.037079;-0.035986;0.012027;-0.037185;0.010436;-0.03715
389;-0.037832;-0.03685;0.011665;-0.037976;0.010264;-0.037994
390;-0.038552;-0.037582;0.010879;-0.038802;0.009273;-0.038785
391;-0.039175;-0.038224;0.010337;-0.039356;0.008984;-0.039333
392;-0.039922;-0.039034;0.009764;-0.039991;0.00811;-0.039997
393;-0.04;-0.039734;0.00901;-0.04;0.007682;-0.04
394;-0.04;-0.04;0.008649;-0.04;0.007682;-0.04
395;-0.039814;-0.04;0.007682;-0.039625;0.007682;-0.039646
396;-0.038877;-0.039964;0.007682;-0.038531;0.007682;-0.038553
397;-0.037325;-0.039175;0.007682;-0.036803;0.007682;-0.036858
398;-0.035136;-0.037898;0.007682;-0.03435;0.007682;-0.034429
399;-0.032024;-0.035874;0.007682;-0.031279;0.007682;-0.031362
400;-0.028822;-0.032954;0.007682;-0.027783;0.007682;-0.0279
401;-0.024992;-0.029899;0.007682;-0.024015;0.007682;-0.024124
402;-0.021625;-0.026135;0.007682;-0.020948;0.007682;-0.021025
403;-0.019106;-0.022554;0.007682;-0.018633;0.007682;-0.018686
404;-0.017811;-0.019845;0.007682;-0.017604;0.007682;-0.017627
405;-0.017616;-0.018076;0.007682;-0.01789;0.007682;-0.017859
406;-0.018612;-0.017503;0.007682;-0.018943;0.007682;-0.018903
407;-0.019913;-0.018305;0.007682;-0.020261;0.007682;-0.020215
408;-0.021332;-0.019494;0.007682;-0.021729;0.007682;-0.021667
409;-0.022992;-0.020953;0.007682;-0.023492;0.007682;-0.023453
410;-0.025018;-0.022413;0.007682;-0.025665;0.007682;-0.025535
411;-0.027204;-0.024343;0.007682;-0.028023;0.007682;-0.027909
412;-0.02987;-0.026352;0.007682;-0.030612;0.007682;-0.030506
413;-0.031871;-0.028885;0.007682;-0.032476;0.007682;-0.032381
414;-0.033389;-0.031413;0.007682;-0.033725;0.007682;-0.033665
415;-0.033922;-0.032932;0.007682;-0.033655;0.007682;-0.033704
416;-0.032782;-0.033893;0.007682;-0.032206;0.007682;-0.032314
417;-0.030612;-0.033288;0.007682;-0.029716;0.007682;-0.029884
418;-0.027766;-0.031482;0.007682;-0.026603;0.007682;-0.026799
419;-0.024201;-0.028865;0.007682;-0.022835;0.007682;-0.023077
420;-0.019969;-0.025504;0.007682;-0.018642;0.007682;-0.018896
421;-0.016014;-0.02145;0.007682;-0.014627;0.007682;-0.014869
422;-0.012076;-0.017447;0.007682;-0.01087;0.007652;-0.011079
423;-0.008492;-0.013427;0.007682;-0.007326;0.006911;-0.007541
424;-0.005245;-0.00972;0.007682;-0.004352;0.006594;-0.004501
425;-0.002638;-0.0063;0.007343;-0.001752;0.006594;-0.00192
